Indname,Year,Nos,No %age,Inv,Inv %age
Sugar,2010,96,2.21,7469,0.43
Sugar,2011,126,3.23,16735,1.09
Sugar,2012,62,2.19,5618,0.99
Sugar,2013,28,1.17,2446,0.46
Sugar,2014,38,2.06,3672,0.91
Fermentation Industries,2009,75,2.16,4566,0.44
Fermentation Industries,2010,69,1.59,3139,0.18
Fermentation Industries,2011,112,2.87,6644,0.43
Fermentation Industries,2012,48,1.7,4365,0.77
Fermentation Industries,2013,52,2.18,4916,0.93
Fermentation Industries,2014,28,1.52,2229,0.55
Food Processing Industry,2009,157,4.52,6996,0.67
Food Processing Industry,2010,204,4.7,8392,0.48
Food Processing Industry,2011,147,3.77,10638,0.69
Food Processing Industry,2012,143,5.06,7022,1.24
Food Processing Industry,2013,161,6.74,10049,1.9
Food Processing Industry,2014,169,9.17,10223,2.52
Vegetable Oil & Vanaspathi,2009,114,3.28,3694,0.36
Vegetable Oil & Vanaspathi,2010,93,2.14,3802,0.22
Vegetable Oil & Vanaspathi,2011,78,2,3475,0.23
Vegetable Oil & Vanaspathi,2012,36,1.27,1064,0.19
Vegetable Oil & Vanaspathi,2013,27,1.13,3381,0.64
Vegetable Oil & Vanaspathi,2014,23,1.25,534,0.13
"Soaps, Cosmetics & Toiletries",2009,28,0.81,1626,0.16
"Soaps, Cosmetics & Toiletries",2010,27,0.62,2886,0.17
"Soaps, Cosmetics & Toiletries",2011,21,0.54,2380,0.15
"Soaps, Cosmetics & Toiletries",2012,19,0.67,2106,0.37
"Soaps, Cosmetics & Toiletries",2013,16,0.67,1593,0.3
"Soaps, Cosmetics & Toiletries",2014,10,0.54,1895,0.47
Rubber Goods,2009,28,0.81,2118,0.2
Rubber Goods,2010,37,0.85,5819,0.34
Rubber Goods,2011,41,1.05,8292,0.54
Rubber Goods,2012,28,0.99,1987,0.35
Rubber Goods,2013,33,1.38,7191,1.36
Rubber Goods,2014,14,0.76,4790,1.18
Leather,2009,7,0.2,106,0.01
Leather,2010,12,0.28,161,0.01
Leather,2011,10,0.26,474,0.03
Leather,2012,4,0.14,26,0
Leather,2013,8,0.34,550,0.1
Leather,2014,6,0.33,136,0.03
Glue and Gelatin,2009,2,0.06,27,0
Glue and Gelatin,2010,4,0.09,19,0
Glue and Gelatin,2011,1,0.03,16,0
Glue and Gelatin,2012,0,0,0,0
Glue and Gelatin,2013,1,0.04,55,0.01
Glue and Gelatin,2014,4,0.22,919,0.23
Glass,2009,27,0.78,558,0.05
Glass,2010,21,0.48,1670,0.1
Glass,2011,26,0.67,5610,0.36
Glass,2012,11,0.39,211,0.04
Glass,2013,10,0.42,579,0.11
Glass,2014,5,0.27,206,0.05
Ceramics,2009,17,0.49,818,0.08
Ceramics,2010,65,1.5,1238,0.07
Ceramics,2011,53,1.36,2115,0.14
Ceramics,2012,21,0.74,1628,0.29
Ceramics,2013,14,0.59,328,0.06
Ceramics,2014,35,1.9,1517,0.37
Cement and Gypsum,2009,143,4.12,52366,5.03
Cement and Gypsum,2010,158,3.64,98410,5.67
Cement and Gypsum,2011,135,3.46,73681,4.79
Cement and Gypsum,2012,94,3.32,38268,6.74
Cement and Gypsum,2013,65,2.72,32242,6.08
Cement and Gypsum,2014,44,2.39,19754,4.88
Timber Products,2009,2,0.06,96,0.01
Timber Products,2010,4,0.09,122,0.01
Timber Products,2011,3,0.08,488,0.03
Timber Products,2012,4,0.14,469,0.08
Timber Products,2013,2,0.08,1182,0.22
Timber Products,2014,8,0.43,760,0.19
Defence Industries,2009,6,0.17,396,0.04
Defence Industries,2010,31,0.71,4520,0.26
Defence Industries,2011,26,0.67,1970,0.13
Defence Industries,2012,1,0.04,37,0.01
Defence Industries,2013,19,0.8,239,0.05
Defence Industries,2014,33,1.79,691,0.17
Misc.Industry,2009,36,1.04,424,0.04
Misc.Industry,2010,40,0.92,573,0.03
Misc.Industry,2011,44,1.13,3503,0.23
Misc.Industry,2012,32,1.13,487,0.09
Misc.Industry,2013,25,1.05,324,0.06
Misc.Industry,2014,44,2.39,1321,0.33
Others,2009,442,12.72,95534,9.18
Others,2010,599,13.81,79795,4.6
Others,2011,651,16.69,215274,13.98
Others,2012,591,20.9,50355,8.87
Others,2013,522,21.87,56016,10.57
Others,2014,328,17.8,117294,28.96
